age,gender,no_of_siblings,mother_occupation,mother_monthly_income,father_occupation,father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,study_hours,study_strategies,regular_study_schedule,attendance_rate,class_participation,time_management_rating,study_deadlines_frequency,motivation_level,engagement_level,stress_frequency,coping_effectiveness,graduate_on_time
18,F,2,Housewife,0,Street Vendor,7000,95,79.5,75.0,75.0,94.0,82.0,73.0,80.0,77.0,86.3,80.0,75.0,77.0,Less than 5 hours,Rarely,0,More than 90%,Slightly,Excellent,Often,Very motivated,Very engaged,Sometimes,Very effective,1
20,F,1,Yaya,8000,Construction Worker,16000,93,81.0,72.0,78.0,78.0,80.0,82.0,80.0,91.0,91.7,85.0,75.0,78.0,More than 20 hours,Rarely,1,More than 90%,Not at all,Excellent,Always,Moderately motivated,Extremely engaged,Never,Extremely effective,1
19,M,5,Housewife,0,Mechanic,14000,76,82.1,86.0,77.0,84.0,80.0,77.0,85.0,80.0,88.7,75.0,79.0,91.0,16-20 hours,Never,0,71-90%,Moderately,Excellent,Always,Not motivated,Very engaged,Often,Extremely effective,1
21,M,0,Cashier,9500,Electrician,12000,90,86.0,94.0,92.0,76.0,92.0,95.0,81.0,98.0,87.5,78.0,75.0,77.0,Less than 5 hours,Often,0,More than 90%,Slightly,Poor,Always,Very motivated,Extremely engaged,Often,Very effective,1
20,F,1,Delivery Rider,10000,Security Guard,13000,88,84.1,76.0,82.0,80.0,95.0,91.0,80.0,80.0,94.2,91.0,76.0,80.0,16-20 hours,Often,1,71-90%,Not at all,Fair,Rarely,Extremely motivated,Extremely engaged,Never,Moderately effective,1
18,M,2,Housewife,0,Jeepney Driver,14000,97,84.0,76.0,84.0,82.0,83.0,77.0,91.0,82.0,86.8,90.0,84.0,88.0,11-15 hours,Sometimes,0,Less than 50%,Very actively,Excellent,Sometimes,Extremely motivated,Moderately engaged,Never,Moderately effective,1
19,F,4,Security Guard,15500,Tricycle Driver,10000,86,83.8,76.0,77.0,79.0,81.0,84.0,85.0,95.0,90.2,82.0,95.0,78.0,11-15 hours,Never,0,More than 90%,Moderately,Fair,Often,Very motivated,Extremely engaged,Often,Very effective,1
20,M,0,Laundry Personnel,9000,Househusband,0,84,83.6,75.0,90.0,88.0,80.0,83.0,76.0,80.0,85.4,96.0,86.0,80.0,16-20 hours,Rarely,1,Less than 50%,Extremely actively,Good,Often,Not motivated,Slightly engaged,Often,Extremely effective,1
18,M,1,Factory Worker,12000,PUV Driver,12000,82,84.4,91.0,77.0,81.0,86.0,85.0,77.0,96.0,86.1,76.0,77.0,96.0,5-10 hours,Often,1,More than 90%,Moderately,Poor,Always,Very motivated,Very engaged,Often,Very effective,1
19,F,3,Housewife,0,Factory Driver,13000,89,87.2,89.0,90.0,82.0,86.0,93.0,93.0,78.0,88.9,87.0,90.0,82.0,5-10 hours,Never,0,71-90%,Very actively,Excellent,Often,Moderately motivated,Moderately engaged,Sometimes,Not effective,1
20,F,1,Housewife,0,Factory Worker,12000,78,80.7,79.0,71.0,81.0,78.0,88.0,83.0,82.0,95.9,75.0,75.0,80.0,5-10 hours,Sometimes,0,More than 90%,Slightly,Poor,Sometimes,Not motivated,Very engaged,Sometimes,Not effective,1
21,F,1,Government Official,19000,Sales Associate,14000,94,82.7,76.0,85.0,84.0,88.0,83.0,85.0,77.0,97.8,82.0,77.0,75.0,11-15 hours,Sometimes,1,71-90%,Not at all,Poor,Always,Very motivated,Very engaged,Often,Extremely effective,1
19,M,0,Teacher,22000,Customer Service Representative,19000,95,88.8,89.0,90.0,81.0,94.0,90.0,99.0,93.0,96.7,93.0,76.0,75.0,Less than 5 hours,Often,0,More than 90%,Very actively,Excellent,Always,Extremely motivated,Very engaged,Sometimes,Not effective,1
18,M,1,Housewife,0,Plumber,15000,93,82.2,88.0,80.0,77.0,73.0,90.0,94.0,77.0,97.4,75.0,76.0,77.0,5-10 hours,Often,1,71-90%,Not at all,Fair,Sometimes,Very motivated,Very engaged,Never,Very effective,1
20,F,2,Waitress,13000,Warehouse Staff,11000,76,83.1,88.0,82.0,92.0,87.0,77.0,80.0,82.0,93.6,75.0,76.0,82.0,Less than 5 hours,Rarely,1,71-90%,Moderately,Good,Always,Extremely motivated,Extremely engaged,Often,Extremely effective,1
19,F,1,Housewife,0,Call Center Agent,22000,90,81.0,82.0,78.0,88.0,83.0,73.0,80.0,77.0,89.2,90.0,75.0,76.0,5-10 hours,Often,0,71-90%,Moderately,Fair,Often,Moderately motivated,Slightly engaged,Often,Not effective,1
21,F,0,Sales Clerk,12000,Maintenance Worker,14000,88,86.9,94.0,86.0,88.0,85.0,81.0,93.0,87.0,94.0,88.0,82.0,78.0,5-10 hours,Rarely,0,Less than 50%,Slightly,Poor,Sometimes,Extremely motivated,Very engaged,Sometimes,Not effective,1
20,M,1,HR,21000,Delivery Rider,13000,97,83.5,85.0,90.0,76.0,79.0,76.0,87.0,98.0,93.1,89.0,75.0,70.0,Less than 5 hours,Sometimes,1,More than 90%,Moderately,Good,Always,Very motivated,Extremely engaged,Never,Extremely effective,1
18,F,1,Housewife,0,Janitor,8000,86,87.3,79.0,90.0,96.0,78.0,87.0,81.0,98.0,95.8,90.0,88.0,77.0,16-20 hours,Sometimes,1,50-70%,Very actively,Good,Often,Very motivated,Extremely engaged,Rarely,Very effective,1
19,M,2,Tailor,8000,Office Staff,16000,84,84.8,87.0,82.0,89.0,82.0,81.0,99.0,82.0,92.8,85.0,76.0,77.0,Less than 5 hours,Always,0,Less than 50%,Slightly,Good,Rarely,Very motivated,Moderately engaged,Never,Extremely effective,1
20,F,0,Yaya,7000,Waiter,10000,82,81.6,77.0,86.0,81.0,72.0,65.0,81.0,85.0,88.1,76.0,90.0,96.0,Less than 5 hours,Never,1,Less than 50%,Moderately,Good,Always,Very motivated,Moderately engaged,Often,Very effective,1
18,F,3,Housewife,0,Retail Salesperson,16000,81,85.4,72.0,90.0,78.0,90.0,96.0,83.0,70.0,98.9,76.0,90.0,96.0,5-10 hours,Sometimes,0,71-90%,Not at all,Poor,Rarely,Moderately motivated,Moderately engaged,Rarely,Not effective,1
19,M,1,Delivery Rider,11500,Graphic Designer,22000,78,85.0,80.0,77.0,82.0,86.0,92.0,96.0,92.0,85.9,75.0,79.0,90.0,16-20 hours,Rarely,0,Less than 50%,Not at all,Poor,Often,Extremely motivated,Very engaged,Never,Moderately effective,1
20,F,4,Housewife,0,Government Official,19000,89,83.1,84.0,90.0,78.0,79.0,82.0,77.0,77.0,90.4,91.0,90.0,76.0,5-10 hours,Often,1,50-70%,Very actively,Poor,Often,Very motivated,Slightly engaged,Often,Very effective,1
21,M,0,Factory Worker,10500,Street Vendor,9000,94,84.0,96.0,90.0,84.0,83.0,78.0,87.0,77.0,87.8,90.0,76.0,75.0,5-10 hours,Often,0,Less than 50%,Not at all,Excellent,Always,Very motivated,Slightly engaged,Sometimes,Very effective,1
19,F,1,Cashier,11000,Construction Worker,14000,95,85.3,83.0,76.0,88.0,80.0,78.0,76.0,93.0,94.3,88.0,86.0,96.0,16-20 hours,Often,1,More than 90%,Slightly,Fair,Rarely,Extremely motivated,Very engaged,Sometimes,Very effective,1
18,F,2,Housewife,0,Mechanic,13000,93,84.9,75.0,77.0,78.0,87.0,77.0,97.0,89.0,95.0,96.0,76.0,87.0,5-10 hours,Always,0,50-70%,Slightly,Excellent,Sometimes,Extremely motivated,Very engaged,Never,Not effective,1
20,M,1,Teacher,23000,Electrician,13000,76,84.1,70.0,81.0,82.0,77.0,90.0,83.0,95.0,89.8,78.0,90.0,89.0,5-10 hours,Sometimes,0,Less than 50%,Moderately,Fair,Always,Moderately motivated,Moderately engaged,Often,Extremely effective,1
19,M,5,Housewife,0,Security Guard,12000,90,81.9,78.0,85.0,75.0,76.0,61.0,92.0,92.0,92.4,76.0,97.0,77.0,5-10 hours,Always,1,More than 90%,Not at all,Excellent,Sometimes,Moderately motivated,Slightly engaged,Often,Very effective,1
22,M,0,Sales Assistant,13500,Jeepney Driver,15000,88,84.2,86.0,74.0,84.0,92.0,78.0,76.0,77.0,98.3,98.0,76.0,87.0,16-20 hours,Sometimes,1,Less than 50%,Extremely actively,Poor,Always,Not motivated,Very engaged,Sometimes,Very effective,1
18,M,1,Housewife,0,Tricycle Driver,8000,97,81.2,86.0,78.0,84.0,81.0,71.0,83.0,80.0,93.9,80.0,76.0,80.0,5-10 hours,Often,0,71-90%,Very actively,Excellent,Often,Very motivated,Very engaged,Never,Not effective,1
20,M,4,Street Vendor,14000,Househusband,0,86,82.6,82.0,70.0,86.0,76.0,85.0,99.0,78.0,87.6,91.0,74.0,80.0,Less than 5 hours,Never,0,More than 90%,Very actively,Excellent,Often,Not motivated,Extremely engaged,Sometimes,Extremely effective,1
21,M,2,Housewife,0,PUV Driver,10000,84,82.2,80.0,77.0,76.0,90.0,77.0,94.0,82.0,85.6,88.0,75.0,80.0,16-20 hours,Always,1,71-90%,Very actively,Good,Sometimes,Very motivated,Moderately engaged,Often,Very effective,1
19,M,3,Security Guard,12500,Factory Driver,13000,82,80.9,73.0,79.0,74.0,79.0,84.0,76.0,84.0,98.5,75.0,76.0,91.0,5-10 hours,Never,0,71-90%,Slightly,Fair,Often,Very motivated,Very engaged,Often,Very effective,1
18,M,1,HR,22000,Factory Worker,11000,81,83.7,79.0,78.0,78.0,83.0,76.0,92.0,77.0,90.2,96.0,95.0,77.0,5-10 hours,Often,1,Less than 50%,Slightly,Fair,Often,Very motivated,Very engaged,Rarely,Very effective,1
20,F,0,Waitress,9500,Sales Associate,15000,78,84.1,88.0,82.0,91.0,91.0,82.0,77.0,84.0,95.5,83.0,75.0,77.0,More than 20 hours,Sometimes,0,50-70%,Slightly,Fair,Always,Very motivated,Very engaged,Often,Not effective,1
19,M,1,Laundry Personnel,8000,Customer Service Representative,20000,89,82.9,78.0,86.0,86.0,86.0,79.0,88.0,78.0,90.8,76.0,86.0,78.0,16-20 hours,Always,0,50-70%,Slightly,Poor,Sometimes,Very motivated,Extremely engaged,Often,Not effective,1
21,F,2,Housewife,0,Plumber,12000,94,83.8,79.0,87.0,80.0,80.0,79.0,94.0,79.0,86.7,92.0,95.0,70.0,Less than 5 hours,Always,1,More than 90%,Very actively,Good,Often,Moderately motivated,Moderately engaged,Often,Extremely effective,1
20,M,4,Delivery Rider,9000,Warehouse Staff,13000,95,82.1,86.0,92.0,82.0,76.0,84.0,76.0,82.0,91.6,82.0,77.0,75.0,16-20 hours,Always,0,Less than 50%,Not at all,Poor,Often,Moderately motivated,Moderately engaged,Rarely,Extremely effective,1
18,M,0,Housewife,0,Call Center Agent,20000,93,82.5,76.0,94.0,71.0,86.0,79.0,77.0,92.0,86.4,85.0,76.0,85.0,5-10 hours,Always,1,More than 90%,Not at all,Good,Always,Very motivated,Very engaged,Often,Not effective,1
19,F,1,Sales Clerk,11500,Maintenance Worker,15000,76,85.2,76.0,88.0,95.0,96.0,83.0,76.0,77.0,96.9,85.0,76.0,88.0,5-10 hours,Sometimes,0,71-90%,Not at all,Fair,Rarely,Very motivated,Extremely engaged,Sometimes,Not effective,1
20,F,2,Housewife,0,Delivery Rider,13000,90,81.8,87.0,79.0,88.0,84.0,85.0,76.0,79.0,85.3,84.0,77.0,75.0,Less than 5 hours,Always,1,50-70%,Very actively,Excellent,Often,Very motivated,Moderately engaged,Often,Very effective,1
18,F,1,Government Official,18000,Janitor,9000,88,83.8,71.0,78.0,87.0,86.0,81.0,90.0,89.0,97.9,96.0,76.0,70.0,Less than 5 hours,Often,0,More than 90%,Moderately,Excellent,Always,Extremely motivated,Slightly engaged,Rarely,Moderately effective,1
19,F,5,Tailor,10000,Office Staff,14000,97,80.9,78.0,78.0,77.0,73.0,85.0,91.0,77.0,90.3,80.0,86.0,75.0,Less than 5 hours,Never,0,71-90%,Moderately,Poor,Always,Very motivated,Moderately engaged,Often,Moderately effective,1
20,F,0,Yaya,8500,Waiter,11000,86,83.6,77.0,79.0,85.0,84.0,91.0,94.0,80.0,88.0,75.0,90.0,77.0,Less than 5 hours,Always,1,71-90%,Moderately,Good,Always,Very motivated,Slightly engaged,Never,Very effective,1
21,F,1,Housewife,0,Retail Salesperson,15000,84,84.7,96.0,82.0,85.0,76.0,86.0,88.0,77.0,92.9,85.0,84.0,80.0,Less than 5 hours,Sometimes,0,Less than 50%,Not at all,Excellent,Sometimes,Very motivated,Very engaged,Often,Very effective,1
19,M,2,Factory Worker,9000,Graphic Designer,19000,82,83.6,95.0,81.0,78.0,82.0,82.0,77.0,77.0,89.1,76.0,95.0,87.0,16-20 hours,Always,1,71-90%,Slightly,Good,Sometimes,Moderately motivated,Slightly engaged,Sometimes,Not effective,1
18,F,4,Housewife,0,Government Official,17000,81,86.5,87.0,88.0,92.0,83.0,72.0,96.0,77.0,90.0,96.0,77.0,94.0,11-15 hours,Never,0,More than 90%,Not at all,Excellent,Always,Very motivated,Extremely engaged,Often,Not effective,1
20,F,3,Cashier,10000,Street Vendor,8000,78,86.3,90.0,79.0,89.0,74.0,87.0,96.0,77.0,93.8,88.0,80.0,96.0,5-10 hours,Often,0,71-90%,Moderately,Excellent,Always,Extremely motivated,Very engaged,Often,Very effective,1
19,F,1,Housewife,0,Construction Worker,15000,89,80.8,74.0,80.0,86.0,83.0,75.0,76.0,77.0,98.0,85.0,75.0,80.0,Less than 5 hours,Often,1,71-90%,Moderately,Excellent,Always,Extremely motivated,Moderately engaged,Sometimes,Extremely effective,1
22,M,0,Teacher,22000,Mechanic,18000,94,82.0,85.0,72.0,84.0,89.0,85.0,99.0,77.0,85.2,75.0,75.0,76.0,16-20 hours,Always,1,Less than 50%,Slightly,Poor,Sometimes,Extremely motivated,Extremely engaged,Rarely,Moderately effective,1
18,M,1,Housewife,0,Electrician,12000,95,85.2,79.0,76.0,81.0,82.0,76.0,99.0,93.0,95.8,94.0,84.0,77.0,Less than 5 hours,Sometimes,0,Less than 50%,Very actively,Good,Always,Very motivated,Very engaged,Sometimes,Very effective,1
20,M,2,Sales Assistant,15000,Security Guard,14000,93,84.8,83.0,81.0,88.0,88.0,76.0,76.0,91.0,92.1,98.0,75.0,85.0,More than 20 hours,Sometimes,0,71-90%,Slightly,Fair,Always,Not motivated,Slightly engaged,Sometimes,Extremely effective,1
21,M,4,Housewife,0,Jeepney Driver,13000,76,80.1,73.0,84.0,77.0,84.0,73.0,85.0,78.0,96.8,78.0,75.0,77.0,16-20 hours,Always,1,More than 90%,Slightly,Fair,Sometimes,Moderately motivated,Very engaged,Often,Not effective,1
19,F,0,Waitress,8000,Tricycle Driver,9000,90,83.8,80.0,81.0,81.0,89.0,63.0,92.0,85.0,88.4,85.0,90.0,87.0,5-10 hours,Often,0,More than 90%,Extremely actively,Poor,Always,Very motivated,Very engaged,Often,Very effective,1
18,M,1,Housewife,0,Househusband,0,88,90.4,74.0,93.0,90.0,95.0,98.0,80.0,96.0,96.1,91.0,87.0,94.0,5-10 hours,Sometimes,0,71-90%,Not at all,Poor,Always,Moderately motivated,Very engaged,Never,Moderately effective,1
20,M,3,Security Guard,12000,PUV Driver,12000,97,78.5,74.0,78.0,74.0,71.0,74.0,81.0,82.0,91.2,75.0,87.0,76.0,5-10 hours,Always,0,More than 90%,Slightly,Poor,Often,Not motivated,Extremely engaged,Sometimes,Very effective,1
19,F,1,Housewife,0,Factory Driver,14000,86,83.1,94.0,83.0,85.0,85.0,78.0,76.0,93.0,88.6,75.0,77.0,80.0,Less than 5 hours,Often,1,71-90%,Very actively,Good,Always,Very motivated,Moderately engaged,Rarely,Moderately effective,1
21,M,0,Laundry Personnel,9500,Factory Worker,12000,84,85.2,85.0,77.0,76.0,87.0,77.0,90.0,92.0,90.7,93.0,80.0,90.0,More than 20 hours,Rarely,1,More than 90%,Very actively,Poor,Always,Extremely motivated,Moderately engaged,Often,Not effective,1
20,M,2,Housewife,0,Sales Associate,11000,82,78.1,76.0,75.0,89.0,71.0,71.0,90.0,70.0,85.6,76.0,79.0,76.0,16-20 hours,Never,0,50-70%,Not at all,Excellent,Often,Very motivated,Very engaged,Often,Not effective,1
18,M,1,Street Vendor,11500,Customer Service Representative,19000,81,84.4,89.0,79.0,71.0,94.0,81.0,80.0,80.0,97.0,93.0,88.0,76.0,5-10 hours,Sometimes,0,More than 90%,Slightly,Fair,Sometimes,Very motivated,Very engaged,Rarely,Very effective,1
19,M,5,Housewife,0,Plumber,13000,78,83.7,88.0,75.0,81.0,80.0,77.0,77.0,85.0,97.2,76.0,93.0,91.0,16-20 hours,Always,0,71-90%,Not at all,Fair,Always,Moderately motivated,Very engaged,Never,Not effective,1
20,M,0,Government Official,21000,Warehouse Staff,13000,89,83.5,76.0,76.0,84.0,89.0,77.0,93.0,98.0,89.4,82.0,76.0,78.0,11-15 hours,Sometimes,1,Less than 50%,Not at all,Excellent,Often,Very motivated,Very engaged,Sometimes,Very effective,1
18,M,1,Housewife,0,Call Center Agent,23000,94,80.2,74.0,79.0,82.0,77.0,68.0,83.0,82.0,92.6,75.0,93.0,77.0,5-10 hours,Rarely,0,More than 90%,Moderately,Good,Often,Not motivated,Moderately engaged,Often,Very effective,1
19,F,2,Delivery Rider,14000,Maintenance Worker,12000,95,82.4,74.0,85.0,83.0,72.0,79.0,76.0,77.0,98.4,76.0,95.0,91.0,More than 20 hours,Never,0,More than 90%,Very actively,Good,Rarely,Very motivated,Very engaged,Often,Very effective,1
20,M,4,HR,20500,Delivery Rider,14000,93,81.1,81.0,84.0,85.0,83.0,82.0,84.0,77.0,86.0,76.0,76.0,78.0,5-10 hours,Sometimes,1,50-70%,Very actively,Poor,Often,Extremely motivated,Moderately engaged,Rarely,Very effective,1
21,F,0,Housewife,0,Janitor,9000,76,83.1,82.0,79.0,80.0,84.0,80.0,94.0,80.0,90.2,76.0,75.0,94.0,5-10 hours,Rarely,0,Less than 50%,Extremely actively,Good,Always,Very motivated,Very engaged,Never,Very effective,1
19,F,1,Housewife,0,Office Staff,15000,90,82.8,86.0,95.0,72.0,85.0,96.0,81.0,77.0,88.3,75.0,79.0,77.0,5-10 hours,Sometimes,1,50-70%,Moderately,Fair,Rarely,Very motivated,Very engaged,Rarely,Moderately effective,1
18,F,2,Housewife,0,Waiter,10000,88,84.1,82.0,93.0,81.0,95.0,90.0,76.0,90.0,89.9,75.0,78.0,75.0,5-10 hours,Often,0,71-90%,Not at all,Excellent,Sometimes,Moderately motivated,Moderately engaged,Sometimes,Moderately effective,1
20,M,1,Yaya,9500,Retail Salesperson,14000,97,84.0,79.0,80.0,80.0,85.0,87.0,83.0,91.0,95.1,98.0,76.0,70.0,Less than 5 hours,Never,0,More than 90%,Not at all,Excellent,Always,Very motivated,Very engaged,Often,Very effective,1
19,M,3,Sales Assistant,13000,Graphic Designer,20000,86,81.7,88.0,80.0,76.0,82.0,78.0,85.0,78.0,90.6,80.0,85.0,76.0,11-15 hours,Often,1,Less than 50%,Very actively,Fair,Always,Moderately motivated,Very engaged,Rarely,Extremely effective,1
22,F,0,Cashier,11500,Government Official,18000,84,82.5,93.0,80.0,76.0,75.0,73.0,88.0,77.0,93.8,76.0,85.0,91.0,Less than 5 hours,Often,0,71-90%,Not at all,Fair,Often,Moderately motivated,Slightly engaged,Never,Very effective,1
18,F,1,Housewife,0,Street Vendor,9000,82,80.9,72.0,84.0,87.0,90.0,76.0,76.0,82.0,87.0,80.0,79.0,77.0,Less than 5 hours,Often,0,71-90%,Not at all,Poor,Always,Very motivated,Slightly engaged,Often,Very effective,1
20,F,2,Factory Worker,11000,Construction Worker,16000,81,79.5,80.0,76.0,70.0,79.0,75.0,79.0,77.0,88.9,76.0,90.0,84.0,More than 20 hours,Often,1,71-90%,Not at all,Fair,Rarely,Very motivated,Moderately engaged,Sometimes,Not effective,1
21,F,4,Government Official,18000,Mechanic,15000,78,83.6,71.0,89.0,77.0,79.0,81.0,76.0,98.0,96.5,94.0,83.0,75.0,Less than 5 hours,Always,0,Less than 50%,Extremely actively,Poor,Always,Not motivated,Very engaged,Often,Not effective,1
19,F,0,Waitress,7500,Electrician,13000,89,77.7,71.0,85.0,78.0,76.0,87.0,84.0,60.0,87.5,70.0,80.0,76.0,Less than 5 hours,Sometimes,1,More than 90%,Not at all,Good,Sometimes,Extremely motivated,Very engaged,Often,Very effective,1
18,F,1,Housewife,0,Security Guard,14000,94,83.7,86.0,90.0,88.0,81.0,71.0,83.0,82.0,96.4,75.0,76.0,92.0,5-10 hours,Often,0,71-90%,Extremely actively,Excellent,Always,Moderately motivated,Moderately engaged,Often,Extremely effective,1
20,F,2,Security Guard,14000,Jeepney Driver,14000,95,82.3,78.0,78.0,80.0,87.0,81.0,76.0,90.0,90.5,94.0,75.0,76.0,Less than 5 hours,Rarely,0,More than 90%,Not at all,Good,Always,Extremely motivated,Slightly engaged,Often,Moderately effective,1
19,F,1,Laundry Personnel,9000,Tricycle Driver,10000,93,84.7,74.0,70.0,79.0,85.0,91.0,97.0,98.0,86.6,88.0,86.0,77.0,Less than 5 hours,Rarely,1,Less than 50%,Not at all,Good,Often,Very motivated,Moderately engaged,Often,Not effective,1
21,M,5,Delivery Rider,13000,Househusband,0,76,80.9,76.0,71.0,88.0,84.0,73.0,76.0,84.0,94.9,78.0,90.0,75.0,Less than 5 hours,Often,0,50-70%,Very actively,Fair,Always,Very motivated,Very engaged,Sometimes,Extremely effective,1
20,F,0,Tailor,8500,PUV Driver,11000,90,82.6,86.0,83.0,77.0,80.0,90.0,78.0,83.0,97.3,76.0,74.0,84.0,Less than 5 hours,Often,0,More than 90%,Not at all,Good,Sometimes,Moderately motivated,Moderately engaged,Often,Extremely effective,1
18,M,1,Housewife,0,Factory Driver,12000,88,81.4,90.0,73.0,89.0,85.0,75.0,77.0,70.0,93.0,76.0,90.0,77.0,More than 20 hours,Always,0,More than 90%,Not at all,Excellent,Sometimes,Extremely motivated,Very engaged,Sometimes,Not effective,1
19,M,2,HR,19000,Factory Worker,12000,97,83.2,81.0,89.0,82.0,91.0,73.0,81.0,79.0,88.8,75.0,95.0,80.0,5-10 hours,Often,1,50-70%,Very actively,Excellent,Always,Very motivated,Extremely engaged,Often,Very effective,1
20,F,4,Street Vendor,11000,Sales Associate,13000,86,81.0,79.0,76.0,77.0,87.0,78.0,80.0,77.0,91.4,87.0,83.0,76.0,16-20 hours,Rarely,1,71-90%,Very actively,Poor,Always,Extremely motivated,Very engaged,Never,Not effective,1
18,M,0,Housewife,0,Customer Service Representative,19000,84,79.4,70.0,78.0,79.0,77.0,72.0,76.0,77.0,90.9,76.0,84.0,94.0,More than 20 hours,Sometimes,0,More than 90%,Slightly,Poor,Sometimes,Very motivated,Moderately engaged,Rarely,Very effective,1
19,F,1,Teacher,20000,Plumber,12000,82,80.9,71.0,84.0,81.0,71.0,90.0,77.0,77.0,96.5,77.0,77.0,88.0,5-10 hours,Always,0,More than 90%,Extremely actively,Excellent,Rarely,Very motivated,Extremely engaged,Rarely,Moderately effective,1
20,F,3,Sales Clerk,10500,Warehouse Staff,12000,81,82.5,81.0,89.0,84.0,85.0,84.0,78.0,92.0,85.8,75.0,76.0,78.0,16-20 hours,Sometimes,1,71-90%,Slightly,Fair,Always,Moderately motivated,Extremely engaged,Rarely,Extremely effective,1
21,M,1,Housewife,0,Call Center Agent,21000,78,85.4,76.0,95.0,91.0,80.0,87.0,76.0,92.0,94.8,76.0,95.0,77.0,5-10 hours,Sometimes,0,50-70%,Moderately,Poor,Often,Very motivated,Moderately engaged,Rarely,Very effective,1
19,M,0,Housewife,0,Maintenance Worker,13000,89,78.9,78.0,94.0,72.0,60.0,82.0,83.0,79.0,85.5,80.0,77.0,77.0,More than 20 hours,Often,1,More than 90%,Very actively,Excellent,Sometimes,Moderately motivated,Very engaged,Often,Extremely effective,1
18,M,1,Housewife,0,Delivery Rider,13000,94,83.7,87.0,76.0,88.0,77.0,76.0,90.0,77.0,88.2,75.0,90.0,96.0,More than 20 hours,Rarely,0,Less than 50%,Not at all,Poor,Sometimes,Extremely motivated,Extremely engaged,Often,Very effective,1
20,M,2,Cashier,12000,Janitor,8000,95,84.4,83.0,78.0,87.0,85.0,83.0,94.0,78.0,87.4,75.0,84.0,94.0,16-20 hours,Sometimes,1,71-90%,Very actively,Poor,Often,Extremely motivated,Very engaged,Rarely,Extremely effective,1
19,M,4,Housewife,0,Office Staff,15000,93,85.1,79.0,87.0,90.0,78.0,75.0,94.0,92.0,95.0,78.0,85.0,83.0,5-10 hours,Often,0,More than 90%,Very actively,Poor,Always,Extremely motivated,Moderately engaged,Never,Not effective,1
22,F,0,Factory Worker,8500,Waiter,12000,76,80.0,70.0,71.0,76.0,74.0,84.0,83.0,85.0,95.7,75.0,77.0,89.0,11-15 hours,Always,0,71-90%,Not at all,Excellent,Often,Very motivated,Very engaged,Never,Moderately effective,1
18,F,1,Government Official,19000,Retail Salesperson,15000,90,83.2,81.0,76.0,77.0,89.0,79.0,82.0,95.0,87.9,84.0,87.0,77.0,5-10 hours,Sometimes,1,50-70%,Not at all,Good,Sometimes,Not motivated,Very engaged,Sometimes,Very effective,1
20,M,2,Teacher,21000,Graphic Designer,18000,88,86.8,90.0,95.0,80.0,84.0,79.0,88.0,91.0,90.8,85.0,87.0,85.0,5-10 hours,Often,0,Less than 50%,Not at all,Excellent,Always,Very motivated,Very engaged,Often,Very effective,1
21,M,1,Housewife,0,Government Official,19000,97,83.8,73.0,82.0,91.0,84.0,89.0,93.0,82.0,89.7,85.0,78.0,75.0,16-20 hours,Sometimes,1,71-90%,Very actively,Excellent,Sometimes,Very motivated,Slightly engaged,Sometimes,Very effective,1
19,M,5,Yaya,8000,Street Vendor,9000,86,86.5,86.0,86.0,80.0,90.0,74.0,81.0,92.0,91.8,96.0,95.0,80.0,5-10 hours,Sometimes,1,More than 90%,Very actively,Good,Sometimes,Very motivated,Very engaged,Often,Very effective,1
18,M,0,Housewife,0,Construction Worker,14000,84,83.6,71.0,84.0,85.0,88.0,89.0,89.0,77.0,86.7,80.0,87.0,83.0,5-10 hours,Rarely,0,More than 90%,Very actively,Good,Often,Extremely motivated,Extremely engaged,Rarely,Not effective,1
20,F,1,Sales Assistant,9500,Mechanic,16000,82,84.9,74.0,83.0,82.0,68.0,94.0,96.0,78.0,88.1,96.0,87.0,88.0,Less than 5 hours,Rarely,0,More than 90%,Not at all,Fair,Always,Very motivated,Very engaged,Never,Very effective,1
19,F,2,Waitress,9000,Electrician,10000,81,88.1,95.0,81.0,89.0,87.0,95.0,77.0,89.0,90.3,80.0,95.0,91.0,5-10 hours,Rarely,0,71-90%,Slightly,Fair,Always,Very motivated,Slightly engaged,Rarely,Very effective,1
21,M,4,Housewife,0,Security Guard,12000,78,83.8,80.0,88.0,96.0,76.0,76.0,92.0,77.0,96.3,89.0,76.0,75.0,Less than 5 hours,Sometimes,1,71-90%,Not at all,Fair,Often,Moderately motivated,Slightly engaged,Often,Extremely effective,1
20,F,0,Security Guard,13000,Jeepney Driver,13000,89,79.3,77.0,78.0,78.0,84.0,77.0,76.0,80.0,86.5,76.0,75.0,85.0,Less than 5 hours,Sometimes,1,50-70%,Not at all,Fair,Always,Very motivated,Very engaged,Rarely,Moderately effective,1
18,F,1,Laundry Personnel,7000,Tricycle Driver,9000,94,84.7,80.0,77.0,89.0,79.0,72.0,99.0,84.0,92.8,91.0,74.0,94.0,5-10 hours,Always,0,More than 90%,Slightly,Good,Always,Not motivated,Slightly engaged,Often,Very effective,1
